nconst,primaryName,birthYear,deathYear,primaryProfession,knownForTitles
nm0000004,John Belushi,1949,1982,"actor,soundtrack,writer","tt0078723,tt0077975,tt0072562,tt0080455"
nm0000101,Dan Aykroyd,1952,\N,"writer,actor,producer","tt0097428,tt0080455,tt0118747,tt0087332"
nm0000195,Bill Murray,1950,\N,"actor,soundtrack,writer","tt1748122,tt0335266,tt0362270,tt0128445"
nm0000196,Mike Myers,1963,\N,"actor,writer,soundtrack","tt0811138,tt0295178,tt0118655,tt0145660"
nm0000331,Chevy Chase,1943,\N,"actor,writer,soundtrack","tt0080487,tt0085995,tt0097958,tt0092086"
nm0000345,Billy Crystal,1948,\N,"actor,writer,producer","tt0122933,tt0098635,tt0101587,tt0113097"
nm0000349,Joan Cusack,1962,\N,"actress,soundtrack,writer","tt0119360,tt0119229,tt0096463,tt1659337"
nm0000375,Robert Downey Jr.,1965,\N,"actor,producer,soundtrack","tt1300854,tt0848228,tt0371746,tt0988045"
nm0000394,Chris Farley,1964,1997,"actor,soundtrack,stunts","tt0114694,tt0115697,tt0106598,tt0118708"
nm0000413,Janeane Garofalo,1964,\N,"actress,writer,producer","tt0117979,tt0132347,tt0243655,tt0382932"
nm0000506,Julia Louis-Dreyfus,1961,\N,"actress,producer,soundtrack","tt0098904,tt2390361,tt0462128,tt1759761"
nm0000552,Eddie Murphy,1961,\N,"actor,writer,producer","tt0443489,tt0094898,tt0126029,tt0117218"
nm0000902,Jim Belushi,1954,\N,"actor,music_department,producer","tt0117468,tt0097637,tt0072562,tt0095963"
nm0001022,Dana Carvey,1955,\N,"actor,soundtrack,writer","tt0105793,tt0108525,tt0295427,tt0072562"
nm0001191,Adam Sandler,1966,\N,"actor,producer,writer","tt0185431,tt0142342,tt0120888,tt0120484"
nm0001302,Christopher Guest,1948,\N,"actor,writer,soundtrack","tt0118111,tt0218839,tt0088258,tt0310281"
nm0001309,Anthony Michael Hall,1968,\N,"actor,producer,soundtrack","tt0468569,tt2361317,tt1100089,tt4758646"
nm0001484,Jon Lovitz,1957,\N,"actor,soundtrack,writer","tt0147612,tt0437863,tt0107659,tt0104694"
nm0001542,Jay Mohr,1970,\N,"actor,writer,producer","tt0180052,tt0120241,tt0139239,tt0116695"
nm0001642,Randy Quaid,1950,\N,"actor,soundtrack,producer","tt0116629,tt0116778,tt0097958,tt0388795"
nm0001674,Chris Rock,1965,\N,"producer,actor,writer","tt2784678,tt0398165,tt0351283,tt0325537"
nm0001705,Rob Schneider,1963,\N,"actor,writer,producer","tt0205000,tt0255798,tt0302640,tt0367652"
nm0001737,Martin Short,1950,\N,"actor,writer,producer","tt0452681,tt1791528,tt0093260,tt0092086"
nm0001774,Ben Stiller,1965,\N,"producer,actor,director","tt0942385,tt1608290,tt0196229,tt0359950"
nm0001834,Damon Wayans,1960,\N,"actor,writer,producer","tt0104897,tt0273855,tt0102266,tt0110443"
nm0002056,Christine Ebersole,1953,\N,"actress,soundtrack","tt0086879,tt0993846,tt0115697,tt0110989"
nm0002071,Will Ferrell,1967,\N,"producer,actor,soundtrack","tt0445934,tt1229340,tt0357413,tt0415306"
nm0004852,Jane Curtin,1947,\N,"actress,soundtrack","tt1155056,tt0106598,tt0086742,tt0115082"
nm0004887,Nora Dunn,1952,\N,"actress,soundtrack,writer","tt0405336,tt0910936,tt0157503,tt0120188"
nm0005218,Tim Meadows,1961,\N,"actor,writer,soundtrack","tt0213790,tt0841046,tt3960412,tt0377092"
nm0005265,Kevin Nealon,1953,\N,"actor,writer,soundtrack","tt0439100,tt0120888,tt0072562,tt0116483"
nm0005450,David Spade,1964,\N,"actor,writer,producer","tt0245686,tt0114694,tt0437863,tt0120917"
nm0035488,Fred Armisen,1966,\N,"music_department,actor,writer","tt1282140,tt1780441,tt0072562,tt0357413"
nm0043839,Peter Aykroyd,1955,2021,"writer,producer,actor","tt0102558,tt0095687,tt0090056,tt0106598"
nm0052218,Morwenna Banks,1961,\N,"actress,writer,producer","tt2245003,tt0466664,tt0760141,tt5839960"
nm0108028,Jim Breuer,1967,\N,"actor,producer,writer","tt1222817,tt0144168,tt0120913,tt0120693"
nm0112944,A. Whitney Brown,1952,\N,"writer,actor","tt0072562,tt0166039,tt0096708,tt1094991"
nm0128639,Beth Cahill,\N,\N,"actress,costume_designer,miscellaneous","tt0262411,tt0164930,tt0155764,tt0072562"
nm0165971,Ellen Cleghorne,1965,\N,"actress,writer,soundtrack","tt2126357,tt0185431,tt0200550,tt0120591"
nm0168642,George Coe,1929,2015,"actor,producer,director","tt0089901,tt0073747,tt0092666,tt1399103"
nm0203457,Pete Davidson,1993,\N,"actor,producer,writer","tt9686708,tt6334354,tt5304992,tt0800325"
nm0205569,Tom Davis,1952,2012,"writer,actor,producer","tt0072562,tt0106598,tt0251075,tt0086465"
nm0205570,Tom Davis,\N,\N,"sound_department,music_department","tt0087998,tt0100613,tt0120241,tt0803033"
nm0205571,Tom Davis,\N,\N,actor,"tt0463970,tt0124718"
nm0205572,Tom Davis,\N,\N,art_department,tt0118632
nm0226986,Denny Dillon,1951,\N,"actress,soundtrack","tt0475276,tt0268380,tt0098780,tt0076666"
nm0236519,Brian Doyle-Murray,1945,\N,"actor,writer,producer","tt0097958,tt0105793,tt0080487,tt0102138"
nm0237222,Rachel Dratch,1966,\N,"actress,soundtrack,miscellaneous","tt8169446,tt1564367,tt0389860,tt0814331"
nm0241208,Robin Duke,1954,\N,"actress,writer,soundtrack","tt0075578,tt0072562,tt0107048,tt0117108"
nm0249931,Dean Edwards,1970,\N,"actor,writer,soundtrack","tt0910898,tt2784678,tt0421143,tt0413300"
nm0254402,Chris Elliott,1960,\N,"actor,writer,producer","tt0107048,tt0109361,tt0129387,tt0096754"
nm0254403,Chris Elliott,\N,\N,"production_designer,set_decorator,art_department","tt0103873,tt0110311,tt0834001,tt0107822"
nm0254404,Chris Elliott,\N,\N,director,tt0222820
nm0266422,Jimmy Fallon,1974,\N,"writer,soundtrack,producer","tt1231460,tt3444938,tt0316732,tt0332047"
nm0275486,Tina Fey,1970,\N,"writer,actress,producer","tt1850457,tt0377092,tt0496424,tt1279935"
nm0287182,Will Forte,1970,\N,"actor,writer,producer","tt1470023,tt3230454,tt1821549,tt1490017"
nm0291253,Al Franken,1951,\N,"writer,producer,actor","tt0086465,tt0072562,tt0368008,tt0114571"
nm0309430,Ana Gasteyer,1967,\N,"actress,soundtrack,producer","tt0377092,tt1232200,tt0207201,tt4366830"
nm0331906,Gilbert Gottfried,1955,\N,"actor,writer,soundtrack","tt0092644,tt0098987,tt0100419,tt0103639"
nm0343444,Mary Gross,1953,\N,"actress,writer,soundtrack","tt0243736,tt0120791,tt0072562,tt0094846"
nm0352778,Bill Hader,1978,\N,"actor,writer,producer","tt3152624,tt1571249,tt2096673,tt7349950"
nm0355357,Brad Hall,1958,\N,"writer,producer,actor","tt0120623,tt0101055,tt6388738,tt2080359"
nm0355358,Brad Hall,1968,\N,"miscellaneous,producer,assistant_director","tt0120399,tt0109830,tt0120829"
nm0355360,Brad Hall,\N,\N,"producer,director,miscellaneous","tt8793210,tt2468756,tt2953706,tt0800142"
nm0356025,Rich Hall,1954,\N,"writer,actor,producer","tt0325939,tt1430607,tt0072562,tt0085065"
nm0358669,Darrell Hammond,1955,\N,"actor,soundtrack,writer","tt0118747,tt0072562,tt0799949,tt0306047"
nm0367005,Phil Hartman,1948,1998,"actor,writer,soundtrack","tt0108174,tt0112095,tt0116705,tt0122718"
nm0393660,Jan Hooks,1957,2014,"actress,soundtrack","tt0103776,tt0089791,tt0115082,tt0106598"
nm0399994,Yvonne Hudson,\N,\N,"actress,miscellaneous","tt0072562,tt0277167"
nm0404525,Melanie Hutsell,\N,\N,"actress,soundtrack","tt2191701,tt4789300,tt1478338,tt0072562"
nm0414130,Victoria Jackson,1959,\N,"actress,soundtrack,writer","tt0098546,tt1394227,tt0099819,tt0094846"
nm0428655,Leslie Jones,\N,\N,"editor,editorial_department","tt0272338,tt1791528,tt0120863,tt1560747"
nm0428656,Leslie Jones,1967,\N,"actress,writer,soundtrack","tt0072562,tt6802400,tt2461150,tt1289401"
nm0428658,Leslie Jones,\N,\N,music_department,tt0116442
nm0428659,Leslie Jones,\N,\N,art_department,"tt0113492,tt0773756,tt0120738,tt0180073"
nm0428660,Leslie Jones,\N,\N,script_department,tt0094643
nm0441592,Chris Kattan,1970,\N,"actor,soundtrack,writer","tt0120770,tt0279493,tt0185371,tt2479478"
nm0443730,Tim Kazurinsky,1950,\N,"actor,writer,miscellaneous","tt0090583,tt0082801,tt0072562,tt0089822"
nm0452716,Laura Kightlinger,1964,\N,"producer,actress,writer","tt0460619,tt0157246,tt4116284,tt8324422"
nm0453115,Taran Killam,1982,\N,"actor,soundtrack,writer","tt2024544,tt0072562,tt4000956,tt5689068"
nm0462712,David Koechner,1962,\N,"actor,writer,soundtrack","tt0427944,tt0357413,tt0425061,tt1229340"
nm0471856,Gary Kroeger,1957,\N,"actor,soundtrack,writer","tt0072562,tt0046593,tt0200525,tt0086765"
nm0491005,Matthew Laurance,1950,\N,"actor,soundtrack","tt0112111,tt0098772,tt0085475,tt0090060"
nm0560257,Gail Matthius,1953,\N,"actress,soundtrack","tt0162796,tt0083530,tt0098929,tt0103373"
nm0571106,Michael McKean,1947,\N,"actor,soundtrack,director","tt0088258,tt0088930,tt0310281,tt3032476"
