Performer,Time on SNL,No. of seasons,Repertory Player,Featured Player,Middle Group,"""Weekend Update"" Anchor",Hosted,Best of...,Writer
Fred Armisen,2002–2013,11,,,,,,,
Aristotle Athari,2021–present,1,,,,,,,
Dan Aykroyd,1975–1979,4,,,,,,,
Peter Aykroyd,1980,1,,,,,,,
Morwenna Banks,1995,1,,,,,,,
Vanessa Bayer,2010–2017,7,,,,,,,
Jim Belushi,1983–1985,2,,,,,,,
John Belushi,1975–1979,4,,,,,,,
Beck Bennett,2013–2021,8,,,,,,,
Jim Breuer,1995–1998,3,,,,,,,
Paul Brittain,2010–2012,2,,,,,,,
A. Whitney Brown,1986–1991,6,,,,,,,
Aidy Bryant,2012–present,10,,,,,,,
Beth Cahill,1991–1992,1,,,,,,,
Dana Carvey,1986–1993,7,,,,,,,
Chevy Chase,1975–1976,2,,,,,,,
Michael Che,2014–present,8,,,,,,,
Ellen Cleghorne,1991–1995,4,,,,,,,
George Coe,1975,1,,,,,,,
Billy Crystal,1984–1985,1,,,,,,,
Jane Curtin,1975–1980,5,,,,,,,
Joan Cusack,1985–1986,1,,,,,,,
Pete Davidson,2014–present,8,,,,,,,
Tom Davis,1977–1980,3,,,,,,,
Mikey Day,2016–present,6,,,,,,,
Denny Dillon,1980–1981,1,,,,,,,
Andrew Dismukes,2020–present,2,,,,,,,
Jim Downey,1980,1,,,,,,,
Robert Downey Jr.,1985–1986,1,,,,,,,
Brian Doyle-Murray,"1980,1981–1982",2,,,,,,,
Rachel Dratch,1999–2006,7,,,,,,,
Robin Duke,1981–1984,4,,,,,,,
Nora Dunn,1985–1990,5,,,,,,,
Christine Ebersole,1981–1982,1,,,,,,,
Dean Edwards,2001–2003,2,,,,,,,
Abby Elliott,2008–2012,4,,,,,,,
Chris Elliott,1994–1995,1,,,,,,,
Jimmy Fallon,1998–2004,6,,,,,,,
Siobhan Fallon,1991–1992,1,,,,,,,
Chris Farley,1990–1995,5,,,,,,,
Will Ferrell,1995–2002,7,,,,,,,
Tina Fey,2000–2006,6,,,,,,,
Chloe Fineman,2019–present,3,,,,,,,
Will Forte,2002–2010,8,,,,,,,
Al Franken,"1977–1980,1986,1988–1995",11,,,,,,,
Heidi Gardner,2017–present,5,,,,,,,
Janeane Garofalo,1994–1995,1,,,,,,,
Ana Gasteyer,1996–2002,6,,,,,,
Gilbert Gottfried,1980–1981,1,,,,,,,
Mary Gross,1981–1985,4,,,,,,,
Christopher Guest,1984–1985,1,,,,,,,
Bill Hader,2005–2013,8,,,,,,,
Anthony Michael Hall,1985–1986,1,,,,,,,
Brad Hall,1982–1984,2,,,,,,,
