Performer,Time on SNL,No. of seasons,Repertory Player,Featured Player,Middle Group,"""Weekend Update"" Anchor",Hosted,Writer
Fred Armisen,2002–2013,11,Yes,Yes,,,Yes,
Aristotle Athari,2021–present,1,,Yes,,,,
Dan Aykroyd,1975–1979,4,Yes,,,Yes,Yes,Yes
Peter Aykroyd,1980,1,,Yes,,,,Yes
Morwenna Banks,1995,1,Yes,,,,,
Vanessa Bayer,2010–2017,7,Yes,Yes,,,,
Jim Belushi,1983–1985,2,Yes,,,,,Yes
John Belushi,1975–1979,4,Yes,,,,,Yes
Beck Bennett,2013–2021,8,Yes,Yes,,,,
Jim Breuer,1995–1998,3,Yes,,,,,
Paul Brittain,2010–2012,2,,Yes,,,,
A. Whitney Brown,1986–1991,6,,Yes,,,,Yes
Aidy Bryant,2012–present,10,Yes,Yes,,,,
Beth Cahill,1991–1992,1,,Yes,,,,
Dana Carvey,1986–1993,7,Yes,,,,Yes,Yes
Chevy Chase,1975–1976,2,Yes,,,Yes,Yes,Yes
Michael Che,2014–present,8,Yes,Yes,,Yes,,Yes
Ellen Cleghorne,1991–1995,4,Yes,,Yes,,,
George Coe,1975,1,Yes,,,,,
Billy Crystal,1984–1985,1,Yes,,,Yes,Yes,Yes
Jane Curtin,1975–1980,5,Yes,,,Yes,,
Joan Cusack,1985–1986,1,Yes,,,,,
Pete Davidson,2014–present,8,Yes,Yes,,,,
Tom Davis,1977–1980,3,,Yes,,,,Yes
Mikey Day,2016–present,6,Yes,Yes,,,,Yes
Denny Dillon,1980–1981,1,Yes,,,,,
Andrew Dismukes,2020–present,2,,Yes,,,,Yes
Jim Downey,1980,1,,Yes,,,,Yes
Robert Downey Jr.,1985–1986,1,Yes,,,,Yes,
Brian Doyle-Murray,1980;1981–1982,2,Yes,Yes,,Yes,,Yes
Rachel Dratch,1999–2006,7,Yes,Yes,,,,
Robin Duke,1981–1984,4,Yes,,,,,
Nora Dunn,1985–1990,5,Yes,,,,,
Christine Ebersole,1981–1982,1,Yes,,,Yes,,
Dean Edwards,2001–2003,2,,Yes,,,,
Abby Elliott,2008–2012,4,Yes,Yes,,,,
Chris Elliott,1994–1995,1,Yes,,,,,
Jimmy Fallon,1998–2004,6,Yes,Yes,,Yes,Yes,Yes
Siobhan Fallon,1991–1992,1,,,Yes,,,
Chris Farley,1990–1995,5,Yes,,Yes,,Yes,Yes
Will Ferrell,1995–2002,7,Yes,,,,Yes,Yes
Tina Fey,2000–2006,6,Yes,Yes,,Yes,Yes,Yes
Chloe Fineman,2019–present,3,Yes,Yes,,,,
Will Forte,2002–2010,8,Yes,Yes,,,Yes,Yes
Al Franken,1977–1980; 1986; 1988–1995,11,,Yes,,,,Yes
Heidi Gardner,2017–present,5,Yes,Yes,,,,
Janeane Garofalo,1994–1995,1,Yes,,,,,
Ana Gasteyer,1996–2002,6,Yes,,,,,
Gilbert Gottfried,1980–1981,1,Yes,,,,,
Mary Gross,1981–1985,4,Yes,,,Yes,,Yes
Christopher Guest,1984–1985,1,Yes,,,Yes,,Yes
Bill Hader,2005–2013,8,Yes,Yes,,,Yes,
